Function,Designation / Role
IT & Software,Software Engineer
IT & Software,Senior Software Engineer
IT & Software,Frontend Developer
IT & Software,Backend Developer
IT & Software,Full Stack Developer
IT & Software,Mobile App Developer
IT & Software,DevOps Engineer
IT & Software,Data Scientist
IT & Software,Data Analyst
IT & Software,Machine Learning Engineer
IT & Software,UI/UX Designer
IT & Software,QA Engineer / Tester
IT & Software,Cloud Architect
IT & Software,System Administrator
IT & Software,Cybersecurity Analyst
IT & Software,Technical Lead
IT & Software,Other
Finance & Accounts,Accountant
Finance & Accounts,Senior Accountant
Finance & Accounts,Financial Analyst
Finance & Accounts,Finance Manager
Finance & Accounts,Auditor
Finance & Accounts,Tax Consultant
Finance & Accounts,Investment Banker
Finance & Accounts,Chartered Accountant (CA)
Finance & Accounts,Other
Healthcare,Doctor
Healthcare,Nurse
Healthcare,Pharmacist
Healthcare,Medical Representative
Healthcare,Healthcare Administrator
Healthcare,Lab Technician
Healthcare,Physiotherapist
Healthcare,Medical Coder
Healthcare,Other
Manufacturing,Production Engineer
Manufacturing,Quality Analyst
Manufacturing,Plant Manager
Manufacturing,Maintenance Engineer
Manufacturing,Supply Chain Manager
Manufacturing,Safety Officer
Manufacturing,Mechanical Engineer
Manufacturing,Other
Marketing,Marketing Executive
Marketing,Digital Marketer
Marketing,Marketing Manager
Marketing,SEO Specialist
Marketing,Content Writer
Marketing,Social Media Manager
Marketing,Brand Manager
Marketing,Other
Sales,Sales Executive
Sales,Sales Manager
Sales,Business Development Executive
Sales,Business Development Manager
Sales,Account Manager
Sales,Area Sales Manager
Sales,Retail Store Manager
Sales,Other
HR,HR Executive
HR,HR Manager
HR,Recruiter
HR,Talent Acquisition Specialist
HR,Payroll Executive
HR,Training & Development Manager
HR,HR Generalist
HR,Other
Other (All Available Roles),Account Manager
Other (All Available Roles),Accountant
Other (All Available Roles),Area Sales Manager
Other (All Available Roles),Auditor
Other (All Available Roles),Backend Developer
Other (All Available Roles),Brand Manager
Other (All Available Roles),Business Analyst
Other (All Available Roles),Business Development Executive
Other (All Available Roles),Business Development Manager
Other (All Available Roles),Chartered Accountant (CA)
Other (All Available Roles),Cloud Architect
Other (All Available Roles),Content Writer
Other (All Available Roles),Cybersecurity Analyst
Other (All Available Roles),Data Analyst
Other (All Available Roles),Data Scientist
Other (All Available Roles),DevOps Engineer
Other (All Available Roles),Digital Marketer
Other (All Available Roles),Doctor
Other (All Available Roles),Finance Manager
Other (All Available Roles),Financial Analyst
Other (All Available Roles),Frontend Developer
Other (All Available Roles),Full Stack Developer
Other (All Available Roles),Healthcare Administrator
Other (All Available Roles),HR Executive
Other (All Available Roles),HR Generalist
Other (All Available Roles),HR Manager
Other (All Available Roles),Investment Banker
Other (All Available Roles),Lab Technician
Other (All Available Roles),Machine Learning Engineer
Other (All Available Roles),Maintenance Engineer
Other (All Available Roles),Marketing Executive
Other (All Available Roles),Marketing Manager
Other (All Available Roles),Mechanical Engineer
Other (All Available Roles),Medical Coder
Other (All Available Roles),Medical Representative
Other (All Available Roles),Mobile App Developer
Other (All Available Roles),Nurse
Other (All Available Roles),Operations Manager
Other (All Available Roles),Payroll Executive
Other (All Available Roles),Pharmacist
Other (All Available Roles),Physiotherapist
Other (All Available Roles),Plant Manager
Other (All Available Roles),Product Manager
Other (All Available Roles),Production Engineer
Other (All Available Roles),Project Manager
Other (All Available Roles),QA Engineer / Tester
Other (All Available Roles),Quality Analyst
Other (All Available Roles),Recruiter
Other (All Available Roles),Retail Store Manager
Other (All Available Roles),Safety Officer
Other (All Available Roles),Sales Executive
Other (All Available Roles),Sales Manager
Other (All Available Roles),Senior Accountant
Other (All Available Roles),Senior Software Engineer
Other (All Available Roles),SEO Specialist
Other (All Available Roles),Social Media Manager
Other (All Available Roles),Software Engineer
Other (All Available Roles),Supply Chain Manager
Other (All Available Roles),System Administrator
Other (All Available Roles),Talent Acquisition Specialist
Other (All Available Roles),Tax Consultant
Other (All Available Roles),Technical Lead
Other (All Available Roles),Training & Development Manager
Other (All Available Roles),UI/UX Designer
Other (All Available Roles),Other
